rank,id,name,website,platform_type,pricing,availability,submission_url,follow_evidence,evidence_url,listing_indexability,domain_rating,opportunity_score,last_verified,limitations
99,plp-dokeyai,DokeyAI,https://dokeyai.com,ai-software-directory,paid,live,https://dokeyai.com/en/submit,source-claimed-follow,,unknown,56,59,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
100,plp-businesshunt,BusinessHunt,https://businesshunt.co,launch-board,freemium,live,,source-claimed-follow,,unknown,36,59,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
101,plp-self-hosted-software-list,Self-Hosted Software List,https://hostedsoftware.org,product-directory,freemium,live,https://hostedsoftware.org/#other-01-151011,source-claimed-follow,,unknown,25,59,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
102,plp-proven-expert,Proven Expert,https://www.provenexpert.com,product-directory,free,live,,source-claimed-follow,,unknown,91,58,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
103,plp-nextgen-tools,NextGen Tools,https://nxgntools.com,ai-software-directory,free,live,,source-claimed-follow,,unknown,69,58,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
104,plp-bizmaker,Bizmaker,https://www.bizmaker.org,business-directory,free,live,https://www.bizmaker.org/checkout/1,source-claimed-follow,,unknown,61,58,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
105,plp-submissionwebdirectory,SubmissionWebDirectory,https://www.submissionwebdirectory.com,business-directory,free,live,https://www.submissionwebdirectory.com/submit.php,source-claimed-follow,,unknown,61,58,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
106,plp-somuch,SoMuch,https://somuch.com,business-directory,free,live,https://somuch.com/submit-links/,source-claimed-follow,,unknown,60,58,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
107,plp-marketinginternetdirectory,MarketingInternetDirectory,https://www.marketinginternetdirectory.com,business-directory,free,live,https://www.marketinginternetdirectory.com/submit.php,source-claimed-follow,,unknown,59,58,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
108,plp-devpost,DevPost,https://devpost.com/software,developer-community,free,live,,source-claimed-follow,,unknown,88,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
109,plp-merchantcircle,Merchantcircle,https://www.merchantcircle.com,product-directory,free,live,,source-claimed-follow,,unknown,84,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
110,plp-smartcustomer,Smartcustomer,https://www.smartcustomer.com,product-directory,free,live,,source-claimed-follow,,unknown,81,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
111,plp-brownbook,Brownbook,https://www.brownbook.net/index,product-directory,free,live,,source-claimed-follow,,unknown,79,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
112,plp-peerlist,Peerlist,https://peerlist.io,launch-board,freemium,protected,,source-claimed-follow,,unknown,77,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
113,plp-viesearch,viesearch,https://viesearch.com,business-directory,freemium,live,https://viesearch.com/submit,source-claimed-follow,,unknown,73,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
114,plp-techdirectory,TechDirectory,https://www.techdirectory.io,business-directory,freemium,live,https://www.techdirectory.io/get-listed,source-claimed-follow,,unknown,66,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
115,plp-startupinspire,StartupInspire,https://startupinspire.com,startup-directory,freemium,live,,source-claimed-follow,,unknown,60,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
116,plp-biztobiz,BizToBiz,https://www.BizToBiz.org,business-directory,free,live,https://www.biztobiz.org/join,source-claimed-follow,,unknown,54,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
117,plp-akonter,Akonter,https://www.akonter.com,product-directory,free,protected,https://www.akonter.com/submit/,source-claimed-follow,,unknown,50,57,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
118,plp-activesearchresults,ActiveSearchResults,https://www.activesearchresults.com/addwebsite.php,product-directory,free,live,,source-claimed-follow,,unknown,74,56,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
119,plp-orynth,Orynth,https://www.orynth.dev,product-directory,free,live,,source-claimed-follow,,unknown,74,56,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
120,plp-owler,Owler,https://www.owler.com/corp,product-directory,free,live,,source-claimed-follow,,unknown,72,56,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
121,plp-sitelike,Sitelike,https://www.sitelike.org,product-directory,free,live,,source-claimed-follow,,unknown,66,56,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
122,plp-bizoforce,Bizoforce,https://www.bizoforce.com,business-directory,free,live,https://bizoforce.com/submit/listing,source-claimed-follow,,unknown,42,56,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
123,plp-productivity-directory,Productivity.Directory,https://productivity.directory,business-directory,free,live,https://productivity.directory/s/submit,source-claimed-follow,,unknown,40,56,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
124,plp-dododirectory,DodoDirectory,https://dododirectory.com,business-directory,freemium,live,https://dododirectory.com/submit,source-claimed-follow,,unknown,50,55,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
125,plp-startup88,Startup88,https://startup88.com,startup-directory,free,live,,source-claimed-follow,,unknown,22,55,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
126,plp-trustmrr,TrustMRR,https://trustmrr.com,product-directory,freemium,live,,source-claimed-follow,,unknown,71,54,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
127,plp-trueen,TRUEen,https://trueen.com,product-directory,freemium,live,,source-claimed-follow,,unknown,69,54,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
128,plp-verifieddr,VerifiedDR,https://verifieddr.com,product-directory,freemium,live,,source-claimed-follow,,unknown,67,54,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
129,plp-startup-stash,Startup Stash,https://startupstash.com,startup-directory,free,protected,,source-claimed-follow,,unknown,65,54,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
130,plp-saas-software-directory,SaaS Software Directory,https://saassoftware.org,business-directory,freemium,live,https://saassoftware.org/#other-01-134121,source-claimed-follow,,unknown,27,53,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
131,plp-good-firms,Good Firms,https://www.goodfirms.co,product-directory,free,protected,,source-claimed-follow,,unknown,86,52,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
132,plp-callupcontact,Callupcontact,https://www.callupcontact.com,business-directory,free,live,,source-claimed-follow,,unknown,76,51,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
133,plp-indielogs,Indielogs,https://www.indielogs.com,product-directory,free,live,,source-claimed-follow,,unknown,24,51,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
134,plp-g2,G2,https://www.g2.com,software-review,free,protected,,source-claimed-follow,,unknown,91,50,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
135,plp-webwiki,Webwiki,https://www.webwiki.com,business-directory,free,live,,source-claimed-follow,,unknown,74,50,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
136,plp-indiehackerstacks,Indiehackerstacks,https://indiehackerstacks.com,product-directory,freemium,live,,source-claimed-follow,,unknown,26,50,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
137,plp-indiegogo,Indiegogo,https://www.indiegogo.com,crowdfunding,free,protected,,source-claimed-follow,,unknown,90,49,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
138,plp-trustradius,Trustradius,https://www.trustradius.com,software-review,free,protected,,source-claimed-follow,,unknown,84,49,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
139,plp-alternativeto,AlternativeTo,https://alternativeto.net,software-review,free,protected,,source-claimed-follow,,unknown,80,49,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
140,plp-stackshare,StackShare,https://stackshare.io,software-review,free,protected,,source-claimed-follow,,unknown,79,49,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 429; verify manually in a browser."
141,plp-softwaresuggest,SoftwareSuggest,https://www.softwaresuggest.com,software-review,free,protected,,source-claimed-follow,,unknown,78,49,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
142,plp-blinx,Blinx,https://www.blinx.biz,business-directory,free,live,,source-claimed-follow,,unknown,60,49,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
143,plp-bizbangboom,BizBangBoom,https://www.BizBangBoom.com,business-directory,free,live,,source-claimed-follow,,unknown,56,49,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
144,plp-semfirms,SEMfirms,https://www.semfirms.com,product-directory,paid,live,,source-claimed-follow,,unknown,54,47,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
145,plp-manta,Manta,https://www.manta.com,business-directory,free,protected,,source-claimed-follow,,unknown,86,46,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
146,plp-ctrlalt,Ctrlalt,https://ctrlalt.cc,product-directory,freemium,protected,,source-claimed-follow,,unknown,50,46,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
147,plp-cybo,Cybo,https://www.cybo.com,business-directory,free,protected,,source-claimed-follow,,unknown,75,45,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
148,plp-capterra,Capterra,https://www.capterra.com,software-review,paid,protected,,source-claimed-follow,,unknown,91,43,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
149,plp-bunity,Bunity,https://www.bunity.com,business-directory,paid,live,,source-claimed-follow,,unknown,70,43,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink."
150,plp-softwareworld,Softwareworld,https://www.softwareworld.co,software-review,paid,protected,,source-claimed-follow,,unknown,73,41,2026-09-01,"Follow eligibility is reported by the cited independent discovery source, but no public listing template was independently verified in this pass. Treat this as a research candidate, not a guaranteed backlink. The homepage blocked automated verification with HTTP 403; verify manually in a browser."
